&S1_HEADER
 118 118
 1  'cost' 'opt_status' 'cost function value' 'None'
 2  'const_norm' 'opt_status' 'max. constraint violation' 'None'
 3  'step_size' 'opt_status' 'line search step size' 'None'
 4  'merit_func' 'opt_status' 'merit function value' 'None'
 5  'merit_deriv' 'opt_status' 'merit function derivative' 'None'
 6  's_kkt' 'opt_status' '(scaled) Karush-Kuhn-Tucker condition' 'None'
 7  'norm2_dx' 'opt_status' '2-norm of QP search direction' 'None'
 8  'min_iter' 'opt_status' 'number of minor iterations' 'None'
 9  'Phase.Initial.RPar.ph1' 'real_design_pars.ph1' 'Initial Independent Variable' 'Second'
 10  'Phase.Duration.RPar.ph1' 'real_design_pars.ph1' 'Duration of Independent Variable' 'Second'
 11  'Phase.Final.RPar.ph1' 'real_design_pars.ph1' 'Final Independent Variable' 'Second'
 12  'YAW~Rocket#L~Rocket:Earth@Rocket.RPar.ph1' 'real_design_pars.ph1' 'Yaw Angle of Rocket in L~Rocket:Earth at Rocket' 'Radian'
 13  'virtual_ignition_time~Engine_1:Rocket.RPar.ph1' 'real_design_pars.ph1' 'Ignition Time of Engine_1 of Rocket' 'Second'
 14  'virtual_shut_off_time~Engine_1:Rocket.RPar.ph1' 'real_design_pars.ph1' 'Shut off Time of Engine_1 of Rocket' 'Second'
 15  'payload_scale_factor~Payload.RPar.ph1' 'real_design_pars.ph1' 'Payload Scale Factor of Payload' 'None'
 16  'tank_sizing_factor~Stage1_LinearDesign.RPar.ph1' 'real_design_pars.ph1' 'Tank Sizing Factor of Stage1_LinearDesign' 'None'
 17  'tank_sizing_factor~Stage2_LinearDesign.RPar.ph1' 'real_design_pars.ph1' 'Tank Sizing Factor of Stage2_LinearDesign' 'None'
 18  'ini_altitude_Initial~Rocket.IBC.ph1' 'ini_boundary_constr.ph1' 'Altitude of Rocket Constraint' 'None'
 19  'ini_latitude_Initial~Rocket.IBC.ph1' 'ini_boundary_constr.ph1' 'Latitude of Rocket Constraint' 'None'
 20  'ini_longitude_Initial~Rocket.IBC.ph1' 'ini_boundary_constr.ph1' 'Longitude of Rocket Constraint' 'None'
 21  'ini_north_vel_Initial~Rocket.IBC.ph1' 'ini_boundary_constr.ph1' 'North velocity of Rocket Constraint' 'None'
 22  'ini_radial_vel_Initial~Rocket.IBC.ph1' 'ini_boundary_constr.ph1' 'Radial velocity of Rocket Constraint' 'None'
 23  'ini_rel_east_vel_Initial~Rocket.IBC.ph1' 'ini_boundary_constr.ph1' 'Relative east velocity of Rocket Constraint' 'None'
 24  'T_W_ratio_Initial~Rocket.IBC.ph1' 'ini_boundary_constr.ph1' 'Thrust to effective weight ratio of Rocket Constraint' 'None'
 25  'initial_propellant_Auto~Stage1_LinearDesign:Rocket.IBC.ph1' 'ini_boundary_constr.ph1' 'Delta of InitialPropellant Mass of Stage1_LinearDesign of Rocket Constraint' 'None'
 26  'residual_propellant_Auto~Stage1_LinearDesign:Rocket.FBC.ph1' 'fin_boundary_constr.ph1' 'Normalized ResidualPropellant Mass of Stage1_LinearDesign of Rocket Constraint' 'None'
 27  'normalized_time_Auto.ParC.ph1' 'parameter_constr.p1' 'Normalized Independent Variable Constraint of  Constraint' 'None'
 28  'virtual_ignition_time_Auto~Engine_1:Rocket.ParC.ph1' 'parameter_constr.p1' 'Ignition Time of Engine_1 of Rocket of Rocket Constraint' 'None'
 29  'Phase.Initial.RPar.ph2' 'real_design_pars.ph2' 'Initial Independent Variable' 'Second'
 30  'Phase.Duration.RPar.ph2' 'real_design_pars.ph2' 'Duration of Independent Variable' 'Second'
 31  'Phase.Final.RPar.ph2' 'real_design_pars.ph2' 'Final Independent Variable' 'Second'
 32  'YAW~Rocket#L~Rocket:Earth@Rocket.RPar.ph2' 'real_design_pars.ph2' 'Yaw Angle of Rocket in L~Rocket:Earth at Rocket' 'Radian'
 33  'initial_PITCH~Rocket#L~Rocket:Earth@Rocket.RPar.ph2' 'real_design_pars.ph2' 'Initial Pitch Angle of Rocket in L~Rocket:Earth at Rocket' 'Radian'
